student_id,preference_type,preference_value,weight,source
STU-0044,skills_to_build,graph-databases,0.77,survey
STU-0111,skills_to_build,search-algorithms,0.79,survey
STU-0020,skills_to_build,algorithm-design,0.58,advisor_note
STU-0102,skills_to_build,nosql,0.57,advisor_note
STU-0083,skills_to_build,ai-fundamentals,0.68,survey
STU-0112,skills_to_build,cryptography,0.83,survey
STU-0103,skills_to_build,computational-geometry,0.66,advisor_note
STU-0049,skills_to_build,search-algorithms,0.86,survey
STU-0013,skills_to_build,deep-learning,0.61,advisor_note
STU-0013,skills_to_build,search-algorithms,0.61,advisor_note
STU-0046,skills_to_build,algorithm-design,0.62,survey
STU-0045,skills_to_build,data-visualization,0.52,advisor_note
STU-0034,skills_to_build,neural-networks,0.88,survey
STU-0006,skills_to_build,ai-fundamentals,0.74,survey
STU-0027,skills_to_build,pattern-recognition,0.73,survey
STU-0027,skills_to_build,virtual-reality,0.75,advisor_note
STU-0088,skills_to_build,3d-graphics,0.77,advisor_note
STU-0088,skills_to_build,algorithm-design,0.6,advisor_note
STU-0082,skills_to_build,3d-animation,0.68,survey
STU-0110,skills_to_build,graph-databases,0.75,survey
STU-0063,skills_to_build,cryptography,0.59,advisor_note
STU-0033,skills_to_build,information-retrieval,0.85,survey
STU-0007,skills_to_build,3d-animation,0.68,advisor_note
STU-0007,skills_to_build,computational-geometry,0.74,survey
STU-0043,skills_to_build,pattern-recognition,0.61,survey
STU-0043,skills_to_build,statistical-learning,0.8,survey
STU-0099,skills_to_build,3d-animation,0.79,survey
STU-0099,skills_to_build,algorithm-design,0.77,advisor_note
STU-0017,skills_to_build,3d-graphics,0.54,advisor_note
STU-0017,skills_to_build,neural-networks,0.83,survey
STU-0057,skills_to_build,data-visualization,0.81,advisor_note
STU-0071,skills_to_build,graph-databases,0.72,advisor_note
STU-0091,skills_to_build,pattern-recognition,0.53,survey
STU-0002,skills_to_build,information-retrieval,0.73,survey
STU-0010,skills_to_build,statistical-learning,0.62,survey
STU-0010,skills_to_build,neural-networks,0.86,survey
STU-0048,skills_to_build,pattern-recognition,0.64,advisor_note
STU-0075,skills_to_build,virtual-reality,0.85,survey
STU-0097,skills_to_build,deep-learning,0.79,advisor_note
STU-0097,skills_to_build,computational-geometry,0.81,advisor_note
STU-0019,skills_to_build,3d-graphics,0.56,survey
STU-0056,skills_to_build,neural-networks,0.59,advisor_note
STU-0056,skills_to_build,functional-programming,0.64,survey
STU-0101,skills_to_build,deep-learning,0.76,advisor_note
STU-0105,skills_to_build,3d-graphics,0.89,advisor_note
STU-0105,skills_to_build,ai-fundamentals,0.64,advisor_note
STU-0040,skills_to_build,deep-learning,0.85,advisor_note
STU-0040,skills_to_build,pattern-recognition,0.57,advisor_note
STU-0047,skills_to_build,pattern-recognition,0.74,advisor_note
STU-0079,skills_to_build,nosql,0.55,survey
STU-0079,skills_to_build,privacy,0.6,advisor_note
STU-0053,skills_to_build,privacy,0.87,survey
STU-0059,skills_to_build,nosql,0.88,advisor_note
STU-0059,skills_to_build,ai-fundamentals,0.75,survey
STU-0120,skills_to_build,privacy,0.77,advisor_note
STU-0120,skills_to_build,3d-animation,0.66,advisor_note
STU-0023,skills_to_build,algorithm-design,0.67,advisor_note
STU-0094,skills_to_build,3d-animation,0.66,survey
STU-0067,skills_to_build,3d-animation,0.67,advisor_note
STU-0067,skills_to_build,algorithm-design,0.69,advisor_note
STU-0035,skills_to_build,privacy,0.69,survey
STU-0069,skills_to_build,3d-animation,0.71,advisor_note
STU-0100,skills_to_build,virtual-reality,0.77,survey
STU-0062,skills_to_build,statistical-learning,0.51,survey
STU-0060,skills_to_build,ai-fundamentals,0.67,survey
STU-0060,skills_to_build,graph-databases,0.79,advisor_note
STU-0116,skills_to_build,search-algorithms,0.56,survey
STU-0116,skills_to_build,virtual-reality,0.86,survey
STU-0042,skills_to_build,virtual-reality,0.82,advisor_note
STU-0042,skills_to_build,computational-geometry,0.52,survey
STU-0073,skills_to_build,graph-databases,0.55,advisor_note
STU-0089,skills_to_build,graph-databases,0.67,advisor_note
STU-0089,skills_to_build,privacy,0.86,advisor_note
STU-0064,skills_to_build,3d-graphics,0.84,advisor_note
STU-0064,skills_to_build,virtual-reality,0.81,advisor_note
STU-0037,skills_to_build,3d-graphics,0.68,advisor_note
STU-0085,skills_to_build,3d-graphics,0.63,survey
STU-0052,skills_to_build,statistical-learning,0.59,survey
STU-0098,skills_to_build,ai-fundamentals,0.67,advisor_note
STU-0041,skills_to_build,nosql,0.58,advisor_note
STU-0041,skills_to_build,neural-networks,0.66,survey
STU-0066,skills_to_build,functional-programming,0.88,advisor_note
STU-0066,skills_to_build,deep-learning,0.8,advisor_note
STU-0025,skills_to_build,functional-programming,0.59,advisor_note
STU-0080,skills_to_build,deep-learning,0.63,advisor_note
STU-0080,skills_to_build,search-algorithms,0.79,advisor_note
STU-0081,skills_to_build,cryptography,0.51,advisor_note
STU-0096,skills_to_build,ai-fundamentals,0.76,survey
STU-0039,skills_to_build,computational-geometry,0.6,advisor_note
STU-0039,skills_to_build,neural-networks,0.58,advisor_note
STU-0031,skills_to_build,search-algorithms,0.8,advisor_note
STU-0031,skills_to_build,3d-graphics,0.6,survey
STU-0050,skills_to_build,deep-learning,0.9,advisor_note
STU-0050,skills_to_build,neural-networks,0.59,survey
STU-0086,skills_to_build,deep-learning,0.88,survey
STU-0008,skills_to_build,statistical-learning,0.6,advisor_note
STU-0051,skills_to_build,algorithm-design,0.69,advisor_note
STU-0016,skills_to_build,computational-geometry,0.81,survey
STU-0016,skills_to_build,pattern-recognition,0.89,survey
STU-0003,skills_to_build,3d-animation,0.73,advisor_note
STU-0009,skills_to_build,algorithm-design,0.74,survey
STU-0009,skills_to_build,ai-fundamentals,0.54,advisor_note
STU-0074,skills_to_build,neural-networks,0.64,advisor_note
STU-0068,skills_to_build,ai-fundamentals,0.76,survey
STU-0068,skills_to_build,privacy,0.84,advisor_note
STU-0024,skills_to_build,nosql,0.88,advisor_note
STU-0038,skills_to_build,nosql,0.57,advisor_note
STU-0077,skills_to_build,graph-databases,0.83,advisor_note
STU-0077,skills_to_build,nosql,0.63,survey
STU-0022,skills_to_build,3d-graphics,0.85,survey
STU-0011,skills_to_build,search-algorithms,0.51,advisor_note
STU-0011,skills_to_build,data-visualization,0.57,survey
STU-0093,skills_to_build,3d-graphics,0.61,advisor_note
STU-0093,skills_to_build,data-visualization,0.72,survey
STU-0114,skills_to_build,virtual-reality,0.79,advisor_note
STU-0061,skills_to_build,functional-programming,0.76,advisor_note
STU-0043,career_goal,security-analyst,0.82,survey
STU-0039,career_goal,security-analyst,0.85,survey
STU-0095,career_goal,database-architect,0.83,survey
STU-0070,career_goal,data-scientist,0.95,survey
STU-0044,career_goal,database-architect,0.75,survey
STU-0109,career_goal,ml-engineer,0.79,survey
STU-0088,career_goal,data-scientist,0.7,survey
STU-0073,career_goal,algorithms-researcher,0.73,survey
STU-0058,career_goal,ai-engineer,0.94,survey
STU-0020,career_goal,algorithms-researcher,0.77,survey
STU-0062,career_goal,ml-engineer,0.86,survey
STU-0079,career_goal,database-architect,0.82,survey
STU-0045,career_goal,database-architect,0.7,survey
STU-0057,career_goal,data-scientist,0.82,survey
STU-0101,career_goal,vr-developer,0.79,survey
STU-0097,career_goal,ai-engineer,0.76,survey
STU-0049,career_goal,database-architect,0.82,survey
STU-0063,career_goal,database-architect,0.72,survey
STU-0041,career_goal,vr-developer,0.72,survey
STU-0008,career_goal,security-analyst,0.87,survey
STU-0112,career_goal,ml-engineer,0.74,survey
STU-0013,career_goal,algorithms-researcher,0.94,survey
STU-0089,career_goal,ai-engineer,0.95,survey
STU-0099,career_goal,ai-engineer,0.84,survey
STU-0001,career_goal,vr-developer,0.85,survey
STU-0074,career_goal,database-architect,0.85,survey
STU-0107,career_goal,database-architect,0.83,survey
STU-0054,career_goal,vr-developer,0.93,survey
STU-0005,career_goal,data-scientist,0.92,survey
STU-0026,career_goal,vr-developer,0.78,survey
STU-0102,career_goal,algorithms-researcher,0.72,survey
STU-0037,career_goal,security-analyst,0.72,survey
STU-0019,career_goal,database-architect,0.75,survey
STU-0072,career_goal,ml-engineer,0.77,survey
STU-0064,career_goal,ai-engineer,0.74,survey
STU-0090,career_goal,ml-engineer,0.84,survey
